sp	stat	naturalized	invasive	LA	SM	H	MPD	PDmin	MPDw	Bio 1 native	Bio 10 native	Bio 11 native	Bio 12 native	Bio 13 native	Bio 14 native	Bio 15 native	Bio 16 native	Bio 17 native	Bio 18 native	Bio 19 native	Bio 2 native	Bio 3 native	Bio 4 native	Bio 5 native	Bio 6 native	Bio 7 native	Bio 8 native	Bio 9 native	MRT	Area	Euclid	Pseudo-F	NMI	Bio 1 diff	Bio 10 diff	Bio 11 diff	Bio 12 diff	Bio 13 diff	Bio 14 diff	Bio 15 diff	Bio 16 diff	Bio 17 diff	Bio 18 diff	Bio 19 diff	Bio 2 diff	Bio 3 diff	Bio 4 diff	Bio 5 diff	Bio 6 diff	Bio 7 diff	Bio 8 diff	Bio 9 diff
Agave_sisalana	nat	1	0	7665.237837	7.4388	3.040096156	264.1212247	44.549292	12.62851521	23.79757504	25.91286478	21.19393444	1060.952381	194.9047619	19.80952381	80.79316239	514.3333333	70.23809524	322.8571429	93	13.24154849	67.59443665	193.7296771	33.56796692	13.9136398	19.65432707	25.14992728	22.67620909	121	432408.6579	8.840638509	6.020519903	0.103405415	-0.833884421	-1.501769565	-0.166839055	-263.2380952	-49.11904762	-5.738095238	-12.95237587	-133.1190476	-14.95238095	-139	69.14285714	-3.786548569	3.184567315	-52.48254086	-3.805966968	2.488931747	-6.294898669	-1.673546382	0.144505319
Albizia_lebbeck	inv	1	1	275	119.805	6.562	227.6992072	51.06034	12.12499089	25.27459815	29.28046696	20.6517187	1150.881295	298.9064748	8.169064748	102.5085282	726.1726619	35.55035971	316.0827338	96.78057554	11.38477705	51.59538309	348.2177333	35.93687607	13.2872284	22.64964772	27.01712448	22.41670528	189	376471.0605	6.173097253	9.178123577	0.467796892	-0.588381607	-3.254200288	2.309347738	-237.281295	-95.70647482	0.730935252	-15.02067226	-206.9726619	2.149640288	-152.2827338	29.41942446	-1.685810692	21.39313467	-221.925912	-4.482876361	4.794371597	-9.277248005	-1.806657902	2.017760892
Alpinia_zerumbet	exo	0	0	14860.63009	17.4992	1.5707965	262.2933293	95.377312	15.61131486	21.26814832	26.2696781	15.52251463	2165.575	393.5333333	51.89166667	69.24335688	1042.833333	180.6666667	917.0416667	227.75	6.455870664	35.03206666	442.3184558	30.10808891	11.38126852	18.72682033	25.07103107	16.89947309	193	626975.1788	12.2936026	23.05500907	0.333983222	3.622705881	-0.210747226	7.858922827	-1240.075	-198.6166667	-43.39166667	16.90241764	-534.5	-147.3333333	-759.5416667	-21	3.442999883	39.88712406	-331.9527799	1.516272132	6.998272875	-5.482000693	-0.155482586	7.955545688
Amaranthus_blitum	nat	1	0	878.3508053	0.16	0.429	244.5149672	65.087106	30.20238989	11.37748821	19.01206797	4.019587659	869.8596382	110.790393	43.72738615	27.54362619	299.5327511	147.5159077	244.3462258	192.0798503	8.740931784	35.43464802	613.6978655	25.18086158	0.044409182	25.13645238	12.99526283	9.641468763	188	485949.5055	5.469679692	47.15558141	0.124828054	12.50680344	6.317515195	17.8509954	-209.1096382	36.70960699	-36.10238615	59.01332819	67.21724891	-118.0159077	-105.0962258	-85.45485028	1.368234838	36.53305007	-469.2258787	5.97863854	17.07209084	-11.09345228	11.08123735	13.7758646
Amaranthus_spinosus	nat	1	0	3332.678074	0.194	1.5	246.0866919	65.087105	8.861958563	24.121413	25.08924098	23.09465814	1998.747748	308.4864865	51.53153153	59.65507743	811.5405405	192.7027027	526.3333333	463.3063063	9.683499156	79.19863929	82.56338551	30.38531803	17.96445908	12.42085895	24.42385172	23.65827024	201	818451.5133	7.944336136	29.47821661	0.5033187	0.510557509	0.860419302	-0.141655414	-1168.501594	-122.424948	-43.51614692	29.78526793	-339.0328482	-160.1334719	-375.5333333	-317.4139986	0.29359782	-6.046937704	41.49607887	1.200886201	-0.037583452	1.238469657	0.434418253	0.751176825
Ananas_comosus	exo	0	0	21606.23593	2.009133333	0.914	260.0572114	22.46263	12.23994529	23.42708949	25.08973405	21.47133015	1755.544538	267.2890756	47.14117647	56.68963465	737.7260504	168.1495798	443.9344538	375.8033613	10.63921338	69.8050424	150.7499633	30.95752676	15.27037182	15.68715494	24.19035725	22.07440768	386	808784.4946	5.926607225	3.6007784	0.555048263	-1.35760775	-1.928252405	-0.93770041	-711.1000934	-62.28907563	-33.80784314	23.79122659	-186.3927171	-118.7051354	-168.4900093	-252.0255836	0.062342087	3.224580842	-39.67013865	-1.767304553	-0.734816191	-1.03248836	-1.680949995	-1.015518719
Andropogon_gayanus	inv	1	1	675	2.5584	3.5	254.4051947	5.90498	9.703608107	23.4068766	26.53987013	19.37178348	612.1038961	141.4285714	6.090909091	102.8218365	368.3506494	21.2987013	236.5194805	22.46753247	13.67091325	60.06802799	296.5311465	33.60732455	10.74561042	22.86171418	25.71370561	19.92588742	69	601383.1086	5.80199216	14.27375665	0.428045058	1.536998553	-0.304648422	4.027160898	303.3127706	68.32142857	-1.090909091	-6.363631005	174.732684	3.951298701	-46.01948052	50.86580087	-2.738552045	13.05416058	-178.5565632	-1.205657909	6.67205633	-7.87771421	-0.558594136	4.262501884
Annona_muricata	exo	0	0	9050	391.336	6.09	270.8685477	28.441229	12.86939135	24.29655197	26.08790449	22.14684892	1511.369427	285.1019108	30.22929936	83.2154916	757.1273885	106.3630573	522.3757962	166.6050955	11.25157315	70.26857364	163.4354121	32.27086755	15.92398618	16.34688139	25.44405146	23.38497231	142	622367.0804	8.807685307	7.001525536	0.535982755	-0.486457306	-0.940791033	-0.050822582	-573.8239722	-97.96554719	-16.13839027	-4.994283726	-267.3092067	-53.90851187	-356.8757962	26.53126809	-1.669053033	1.636839208	-36.39280244	-1.693398069	1.263036593	-2.956434686	-1.789176395	0.36740139
Annona_reticulata	exo	0	0	6008.695933	239.2	6.09	270.9808501	35.521535	11.12839063	25.40497754	26.28968913	24.35831121	2082.666667	313.5333333	46.93333333	52.540065	814.8666667	187.2	432.0666667	567.6	9.99608895	78.67593002	79.93558566	31.92933337	19.05626685	12.87306646	25.3920887	25.23453331	182	770584.9364	6.70305064	5.51543317	0.035713437	-1.921505674	-1.410244687	-2.52853349	-1105.833333	-117.0333333	-33.93333333	25.91769708	-298.7	-129.8666667	-245.4	-324.4333333	0.565188758	-6.159940084	48.20094744	-1.017333031	-2.714266682	1.696933715	-1.512200165	-2.172643979
Argemone_mexicana	inv	1	1	3816.709304	1.848	1	264.8287001	225.876142	8.960290802	22.58579708	25.48130858	19.22372535	1063.17623	210.4364754	16.29508197	84.37472045	541.6188525	59.9057377	341.8995902	93.94672131	12.95436436	63.80232961	257.1653943	32.59304028	11.88006016	20.71298016	24.56579503	20.8385739	184	783406.6616	9.898428537	43.68092941	0.310482482	1.158384947	-0.313499089	2.530723715	-385.1252091	-66.52831214	-8.580796253	-1.29518308	-177.7208933	-28.46696219	-179.3995902	10.16552359	-2.599952767	8.148960442	-114.2908886	-1.580305599	4.737409268	-6.317714918	-0.212257631	2.330643932
