sp	stat	naturalized	invasive	LA	SM	H	mpds	min	mpds_weighted	bio_1_native	bio_10_native	bio_11_native	bio_12_native	bio_13_native	bio_14_native	bio_15_native	bio_16_native	bio_17_native	bio_18_native	bio_19_native	bio_2_native	bio_3_native	bio_4_native	bio_5_native	bio_6_native	bio_7_native	bio_8_native	bio_9_native	year_p	Area_p	euclid_p	F_pres	nmi_p	bio_1_p	bio_10_p	bio_11_p	bio_12_p	bio_13_p	bio_14_p	bio_15_p	bio_16_p	bio_17_p	bio_18_p	bio_19_p	bio_2_p	bio_3_p	bio_4_p	bio_5_p	bio_6_p	bio_7_p	bio_8_p	bio_9_p
Agave sisalana	nat	1	0	7665.237837	7.4388	3.040096156	264.1212247	44.549292	12.62851521	23.79757504	25.91286478	21.19393444	1060.952381	194.9047619	19.80952381	80.79316239	514.3333333	70.23809524	322.8571429	93	13.24154849	67.59443665	193.7296771	33.56796692	13.9136398	19.65432707	25.14992728	22.67620909	157	38424.18688	8.880695984	4.908027168	0.149444244	1.211055983	0.810945148	1.676700592	-296.4999927	-46.40476299	-7.547619195	-8.823577245	-133.3333344	-22.66666673	-173.6428574	50.26190458	-3.448492822	-0.142171315	-34.5225197	-0.901300203	4.186359905	-5.087660472	0.566739355	2.222997348
Albizia lebbeck	inv	1	1	275	119.805	6.562	227.6992072	51.06034	12.12499089	25.27459815	29.28046696	20.6517187	1150.881295	298.9064748	8.169064748	102.5085282	726.1726619	35.55035971	316.0827338	96.78057554	11.38477705	51.59538309	348.2177333	35.93687607	13.2872284	22.64964772	27.01712448	22.41670528	225	125749.9771	6.17359678	7.437866778	0.597492829	1.494707267	-0.892689057	4.259948362	-243.0479637	-87.40647406	0.064268601	-10.70965312	-191.0726603	-1.383692537	-176.2494002	21.08609202	-1.386165888	18.02312277	-206.3447146	-1.476875842	6.632771484	-8.10964785	0.109542545	4.086628003
Alpinia zerumbet	exo	0	0	14860.63009	17.4992	1.5707965	262.2933293	95.377312	15.61131486	21.26814832	26.2696781	15.52251463	2165.575	393.5333333	51.89166667	69.24335688	1042.833333	180.6666667	917.0416667	227.75	6.455870664	35.03206666	442.3184558	30.10808891	11.38126852	18.72682033	25.07103107	16.89947309	229	279663.7716	12.30306843	29.14852871	0.259486393	5.658472164	2.106248077	9.78257786	-1248.991669	-190.9499994	-44.44722221	20.87228217	-518.5277761	-151.4444445	-792.1527774	-45.44444505	3.710333192	36.67081292	-317.1845421	4.361355845	8.804842451	-4.443486873	1.907209897	9.899137918
Amaranthus blitum	nat	1	0	878.3508053	0.16	0.429	244.5149672	65.087106	30.20238989	11.37748821	19.01206797	4.019587659	869.8596382	110.790393	43.72738615	27.54362619	299.5327511	147.5159077	244.3462258	192.0798503	8.740931784	35.43464802	613.6978655	25.18086158	0.044409182	25.13645238	12.99526283	9.641468763	224	294352.9124	5.470231847	54.90096332	0.153854233	14.61469929	8.813626827	19.77207885	-224.3179779	40.70960794	-37.26905284	62.7182008	72.34224891	-121.8075741	-140.8462263	-86.41318473	1.712887849	32.38234855	-448.203413	9.135805021	18.84725771	-9.711452432	13.34362605	15.91408658
Amaranthus spinosus	nat	1	0	3332.678074	0.194	1.5	246.0866919	65.087105	8.861958563	24.121413	25.08924098	23.09465814	1998.747748	308.4864865	51.53153153	59.65507743	811.5405405	192.7027027	526.3333333	463.3063063	9.683499156	79.19863929	82.56338551	30.38531803	17.96445908	12.42085895	24.42385172	23.65827024	237	423912.3087	7.952122913	48.72691483	0.378790918	2.620210953	3.285972756	1.82448724	-1179.229798	-117.3069991	-44.45973672	33.49501653	-329.4277236	-163.9283436	-414.7333338	-325.3422031	0.611458145	-9.57974457	58.84482589	4.224938278	1.791951211	2.432987262	2.496490332	2.895490462
Ananas comosus	exo	0	0	21606.23593	2.009133333	0.914	260.0572114	22.46263	12.23994529	23.42708949	25.08973405	21.47133015	1755.544538	267.2890756	47.14117647	56.68963465	737.7260504	168.1495798	443.9344538	375.8033613	10.63921338	69.8050424	150.7499633	30.95752676	15.27037182	15.68715494	24.19035725	22.07440768	422	56080.56832	5.923988461	3.205048017	0.49396385	0.710102067	0.594216374	0.958916844	-728.0260238	-56.88166766	-34.47451002	27.33084985	-183.1704983	-122.2977284	-207.5640844	-219.5441022	0.33763851	-1.09079544	-17.43770024	1.390621583	1.055554008	0.335067576	0.353469807	0.897196981
Andropogon gayanus	inv	1	1	675	2.5584	3.5	254.4051947	5.90498	9.703608107	23.4068766	26.53987013	19.37178348	612.1038961	141.4285714	6.090909091	102.8218365	368.3506494	21.2987013	236.5194805	22.46753247	13.67091325	60.06802799	296.5311465	33.60732455	10.74561042	22.86171418	25.71370561	19.92588742	105	423036.158	5.832711519	15.86186136	0.57142956	3.70053081	2.350870269	6.017105356	305.6183227	74.98809651	-1.202020255	-2.411971802	189.5382361	2.284631796	-81.04725946	105.3935769	-2.451005967	8.392107786	-153.8151122	2.151008179	8.551611873	-6.400603109	1.45249805	6.244482843
Annona muricata	exo	0	0	9050	391.336	6.09	270.8685477	28.441229	12.86939135	24.29655197	26.08790449	22.14684892	1511.369427	285.1019108	30.22929936	83.2154916	757.1273885	106.3630573	522.3757962	166.6050955	11.25157315	70.26857364	163.4354121	32.27086755	15.92398618	16.34688139	25.44405146	23.38497231	178	36940.00947	8.813502583	8.380251423	0.563786825	1.504142673	1.316893327	1.79128259	-591.0967023	-92.99584941	-18.27475391	-1.861620433	-263.0819326	-60.74184577	-385.9515531	66.13733168	-1.411295434	-1.307173174	-19.41570987	1.07307206	3.010862389	-1.937790744	0.295090007	2.485229673
Annona reticulata	exo	0	0	6008.695933	239.2	6.09	270.9808501	35.521535	11.12839063	25.40497754	26.28968913	24.35831121	2082.666667	313.5333333	46.93333333	52.540065	814.8666667	187.2	432.0666667	567.6	9.99608895	78.67593002	79.93558566	31.92933337	19.05626685	12.87306646	25.3920887	25.23453331	218	445873.1274	6.713208581	5.702157169	0.092842463	0.222105598	1.120495733	-0.637940598	-1116.388885	-111.7555585	-34.98888907	30.32925428	-284.3111043	-135.9222223	-281.8999975	-288.0999975	0.847892475	-10.10203934	73.06127612	2.142889341	-0.822933578	2.965822665	0.530133438	-0.043792725
Argemone mexicana	inv	1	1	3816.709304	1.848	1	264.8287001	225.876142	8.960290802	22.58579708	25.48130858	19.22372535	1063.17623	210.4364754	16.29508197	84.37472045	541.6188525	59.9057377	341.8995902	93.94672131	12.95436436	63.80232961	257.1653943	32.59304028	11.88006016	20.71298016	24.56579503	20.8385739	220	152901.8941	9.899620605	57.23631806	0.421045566	3.241428045	2.129179032	4.414426616	-398.4109231	-62.21878792	-9.516170413	2.917900654	-171.1902807	-32.20505737	-215.9336035	12.89681629	-2.280866624	4.219703925	-93.65641731	1.529748845	6.505994181	-4.976245504	1.896393258	4.314147079
Aristida adscensionis	inv	1	1	70.2	0.606	0.304	255.1188239	19.521018	9.197524523	21.17719749	25.12839371	16.51171696	548.2293907	117.3243728	4.940860215	87.51376005	301.3458781	20.71326165	185.4050179	71.21146953	13.89925799	59.06903091	355.9466818	32.51225854	8.288005071	24.22425347	23.23096689	17.98166328	229	210260.0499	6.727190514	50.66348533	0.497301994	5.24578233	3.120932734	7.779107988	139.4069739	45.6806779	0.877321567	5.580395055	102.194526	3.210980775	-55.13229128	12.52085333	-2.955655297	8.964690781	-194.3695508	2.403903142	10.48977267	-8.085869601	3.79529589	7.656299722
Artemisia vulgaris	exo	0	0	2373.93	0.144	1.377	234.1739613	37.886161	14.51068641	9.500318816	17.13261212	2.191795459	819.0060484	96.1797235	44.20218894	24.95069598	267.0423387	148.7456797	210.9547811	198.3093318	8.289395437	34.10008195	612.3942484	23.11586085	-1.476947943	24.59280881	11.23823453	7.721842238	120	383420.0719	7.527473033	113.14854	-0.074440745	17.09120912	11.1979436	22.33820466	-79.20604839	59.85361161	-33.23552229	61.31342183	138.1243239	-107.6456796	-96.6214479	-76.87599783	1.902548876	34.40745818	-457.3200716	11.4108056	21.10694787	-9.696142089	15.27398776	18.54704643
Artocarpus altilis	nat	1	0	80944	5898	13.47	243.338353	28.388399	9.721040346	25.68992709	26.25544016	24.95526475	2603.278689	355.6803279	105.5081967	41.66548945	974.4344262	357.3032787	660.4754098	590.5655738	8.159829413	82.01327043	55.14531767	30.78857455	20.77094997	10.01762458	25.64359554	25.45165282	259	17641.66246	7.910184527	9.530764478	-0.604251622	-2.163538154	-1.66099589	-2.775265206	-1370.878689	-117.6803309	-86.77486361	34.37785925	-343.7010949	-292.1032798	-469.6087427	-384.5655768	1.021837533	-11.81303468	44.6053232	-0.628575081	-3.744283324	3.115708625	-2.068040119	-1.906097328
